Wall time,Step,Value
1551603956.4004867,6809,32.0
1551604076.4506454,6829,26.375
1551604196.2395203,6848,20.125
1551604315.6884954,6868,40.125
1551604435.5360003,6888,44.375
1551604556.0496867,6908,24.25
1551604676.1639812,6928,24.375
1551604796.7762642,6948,25.375
1551604916.4655545,6968,32.25
1551605036.2257395,6988,22.25
1551605155.792858,7007,22.25
1551605275.5108619,7027,22.0
1551605395.9002068,7047,27.875
1551605516.1368468,7067,31.875
1551605636.2678418,7087,30.625
1551605756.353877,7107,30.25
1551605876.3777463,7127,39.0
1551605996.6685927,7147,27.25
1551606116.4452395,7167,39.5
1551606236.4778473,7187,19.375
1551606356.4737227,7207,23.75
1551606476.476479,7227,24.125
1551606596.6672997,7247,26.625
1551606716.0703433,7266,43.875
1551606836.0852003,7286,24.875
1551606956.111763,7306,22.75
1551607196.0778217,7346,34.5
1551607315.4945078,7366,22.5
1551607555.8208013,7406,36.5
1551607676.117099,7426,35.0
1551607796.487803,7446,27.0
1551607916.2785835,7466,40.0
1551608036.2482226,7486,35.875
1551608156.32624,7506,34.25
1551608276.3626182,7526,21.875
1551608516.4973128,7566,27.375
1551608636.495798,7586,22.875
1551608876.5525887,7626,40.875
1551608996.295873,7646,31.875
1551609116.3701668,7666,25.375
1551609236.2191033,7686,33.0
1551609356.10953,7706,26.5
1551609596.3783493,7745,35.125
1551609715.9442015,7765,26.75
1551609835.5826426,7785,29.375
1551609955.493356,7805,27.0
1551610316.0338767,7865,28.375
1551610556.2395337,7905,30.5
1551610676.3116484,7925,36.125
1551610916.529074,7965,30.5
1551611036.5131881,7985,42.375
1551611156.5606568,8005,23.0
1551611396.5729077,8045,35.75
1551611516.2144685,8065,27.75
1551611756.0943508,8104,30.5
1551611995.774617,8144,27.625
1551612115.7628536,8164,31.625
1551612235.8382401,8184,32.625
1551612476.2984593,8224,27.75
1551612596.4787161,8244,23.25
1551612716.35851,8264,32.125
1551613076.3720798,8324,41.875
1551613196.6108305,8344,32.125
1551613316.2741675,8364,51.5
1551613436.1940327,8384,25.375
1551613555.9730203,8403,28.625
1551613675.9813292,8423,35.75
1551613915.5672116,8463,31.0
1551614156.2588518,8503,32.25
1551614396.5399468,8543,38.625
1551614636.3442023,8583,36.5
1551614996.799469,8643,30.25
1551615116.2250116,8663,33.25
1551615356.1933007,8703,26.125
1551615476.2172778,8723,22.75
1551615596.5973055,8743,25.5
1551615716.5502584,8763,24.75
1551615836.4586716,8783,37.5
1551616076.1716158,8823,40.875
1551616196.5854304,8843,22.75
1551616316.2230103,8863,29.625
1551616436.3533227,8883,32.75
1551616556.3392668,8903,37.375
1551616676.247386,8923,33.875
1551616796.3814328,8943,39.0
1551616916.2645633,8963,23.375
1551617036.1509018,8983,37.875
1551617156.405731,9003,23.625
1551617276.3105376,9023,27.0
1551617396.535288,9043,32.0
1551617636.2228827,9083,27.875
1551617756.1276855,9103,27.125
1551617876.151739,9123,20.25
1551617996.3637698,9143,32.875
1551618116.3035104,9163,30.75
1551618235.951719,9183,25.375
1551618356.1855555,9203,33.875
1551618475.8745878,9223,35.0
1551618596.372627,9243,38.875
1551618715.8847408,9263,30.375
1551618835.6922886,9283,34.125
1551618955.620844,9303,17.5
1551619075.5826993,9323,33.125
1551619196.054118,9343,24.625
1551619315.7351077,9363,31.75
1551619435.7880027,9383,33.125
1551619555.5885465,9403,23.875
1551619675.7225869,9423,30.0
1551619796.607731,9443,38.75
1551620036.1200347,9483,26.375
1551620156.2237654,9503,36.875
1551620636.0050092,9583,25.875
1551620755.9155393,9603,36.75
1551620875.7350082,9623,34.25
1551620996.2111425,9643,29.875
1551621115.7970936,9663,30.25
1551621235.5463433,9683,23.25
1551621355.4172678,9703,29.25
1551621475.4600227,9723,40.5
1551621715.391944,9763,32.5
1551621835.4075649,9783,35.5
1551621955.511585,9803,35.375
1551622315.5424125,9863,24.0
1551622435.8181467,9883,28.75
1551622676.4476948,9923,21.625
1551623036.1863418,9983,32.5
1551623156.124577,10002,29.625
1551623275.603905,10022,33.125
1551623395.9988835,10042,23.875
1551623515.885155,10062,23.5
1551623636.1768987,10082,31.25
1551623756.4175386,10102,23.625
1551623876.441291,10122,24.875
1551623996.7028282,10142,35.125
1551624115.8870022,10161,33.625
1551624235.8894947,10181,19.625
1551624475.580514,10221,30.125
1551624596.4759305,10241,26.25
1551624716.395407,10261,34.5
1551624836.5816844,10281,32.875
1551624956.2159348,10301,33.125
1551625076.3858442,10320,24.125
1551625196.2750292,10340,35.625
1551625435.673788,10380,34.0
1551625555.882988,10400,42.125
1551625676.0524654,10420,27.625
1551625796.7211542,10440,46.0
